ID,Item Tax Template (Taxes),Tax Category (Taxes)
ZC20,,
AN80,,
AN40,,
AN20,,
AN10,,
M22-010,,
M22-011,,
CRE36,,
CRE16,,
RS2030,,
LIP23,,
CHLB02,,
CHLB01,,
XP10,,
TECH40,,
ROSU02,,
ROSU01,,
RO20,,
RO10,,
PREVN01,,
OMA01,,
ITZ80,,
ITZ40,,
LIPI02,,
L4030,,
ITZ20,,
ATZ10,,
ATV10,,
ATO40,,
VIA01,,
M22-012,,
M23-170,,
RMT5,,
RMT2,,
M23-169,,
M23-168,,
T40010,,
M23-167,,
HYT12,,
HYT11,,
HYT10,,
DIU05,,
NTXAM02,,
NAT02,,
FRUS10,,
FRUS03,,
FRUS02,,
NOR14,,
HYT04,,
HYT03,,
EDE01,,
DIM40,,
LAZIC01,,
FUSE01,,
SPI50,,
SPIR25,,
SPI25,,
INDI05,,
DUI01,,
DOCE80,,
DOCE20,,
M23-163,,
DRA25,,
BICX01,,
M23-162,,
M22-195,,
FELO5,,
FELD10,,
AML04,,
AML05,,
DV550,,
DAI15,,
WILM10,,
VERX01,,
VER08,,
VALVA1,,
VALV01,,
NP1030,,
NOR02,,
NOR2.5,,
NOR01,,
AML06,,
AML01,,
VALC01,,
VALC02,,
VALC03,,
AMB15,,
AMB16,,
RMNI30,,
RMF5,,
RMAM10,,
RMAM05,,
NOR130,,
NOR1040,,
EXF05,,
EXF04,,
EXF03,,
EHCT1025,,
EHCT10,,
CARDF10,,
UL TH00001,,
CARD105,,
CAR62,,
AP530,,
AMV03,,
AMV02,,
NEL02,,
AML5,,
AML10,,
QUA37,,
QUA19,,
M22-215,,
M22-216,,
GXA5,,
GXA10,,
LAC38,,
LOP06,,
LOP05,,
LODI03,,
LODI02,,
LDX10,,
DPIN01,,
AMLO02,,
AMLO01,,
AM10100,,
O5MG30,,
DEP1010,,
CARD5,,
CARD10,,
VEZ50,,
FN5,,
ADA12,,
PLE530,,
PLE30,,
LOG03,,
PER14,,
ALAM02,,
ALAM01,,
ISO60,,
ISO5.2,,
ISO17,,
ISO130,,
ISO05,,
AMZ50,,
AVS5,,
VAS76,,
VAS79,,
VAS78,,
M22-210,,
LOD04,,
LOD02,,
LAC6M,,
DAN02,,
DAN01,,
CRDW01,,
BEZ02,,
BEZ01,,
APRE02,,
APRE01,,
AMO-5,,
AMO-10,,
COD100,,
CAR49,,
CARD03,,
RMCARV01,,
RMBIS02,,
RMBIS01,,
RM45,,
RM28,,
RM19,,
RM11,,
PHA77,,
PHA76,,
CAR77,,
ZIA01,,
ZIA05,,
ZIA04,,
COAM01,,
COAM03,,
COAM04,,
COAM05,,
CON25,,
NEB5,,
INDI40,,
INDI10,,
THE08,,
THE03,,
THE02,,
CARV6.25,,
CARV25,,
DUR03,,
DUOB02,,
DUOB01,,
DIL625,,
NEO03,,
NEO10,,
B6.25,,
BET09,,
X25,,
NEBL02,,
NEBL01,,
PROME01,,
IND02,,
IND01,,
DIL02,,
DIL01,,
B2030,,
BET50100,,
BET105,,
B2528,,
CAV25,,
TEN22,,
CAR103,,
CARD12,,
RIV01,,
RT2,,
ARIZ01,,
ARIZ02,,
ZYC01,,
VICT06,,
VICT05,,
N2530,,
AMIA03,,
AMIA01,,
CLOM50,,
ZYC02,,
R250,,
ZOFR02,,
ZOFR03,,
ZOFR01,,
M22-089,,
RENV01,,
NOR17,,
ESC01,,
ZOL04,,
MOT02,,
JOV01,,
